AssetID,AssetName,AssetNodeId,MeasurementPointID,MeasurementPointName,PhysicalQuantity,Unit of Measure,Prefix,AccesRights,DataType
208,WVI-00000002.GK-TST-03.Alarms.Alarm_22000,GK-TST-03.Alarms.Alarm_22000,135,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
209,WVI-00000002.GK-TST-03.Alarms.Alarm_30000,GK-TST-03.Alarms.Alarm_30000,137,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
210,WVI-00000002.GK-TST-03.UsageMetersCentralHeating,GK-TST-03.UsageMetersCentralHeating,139,Flowrate,NoQuantity,NoUoM,NoPrefix,Read,Float
210,WVI-00000002.GK-TST-03.UsageMetersCentralHeating,GK-TST-03.UsageMetersCentralHeating,141,Pressure,NoQuantity,NoUoM,NoPrefix,Read,Float
210,WVI-00000002.GK-TST-03.UsageMetersCentralHeating,GK-TST-03.UsageMetersCentralHeating,143,PumpActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
210,WVI-00000002.GK-TST-03.UsageMetersCentralHeating,GK-TST-03.UsageMetersCentralHeating,145,UsageCounter,NoQuantity,NoUoM,NoPrefix,Read,Float
210,WVI-00000002.GK-TST-03.UsageMetersCentralHeating,GK-TST-03.UsageMetersCentralHeating,147,OperatingHoursPump,NoQuantity,NoUoM,NoPrefix,Read,Float
210,WVI-00000002.GK-TST-03.UsageMetersCentralHeating,GK-TST-03.UsageMetersCentralHeating,149,CurrentUsage,NoQuantity,NoUoM,NoPrefix,Read,Float
210,WVI-00000002.GK-TST-03.UsageMetersCentralHeating,GK-TST-03.UsageMetersCentralHeating,151,GasPressureInlet,NoQuantity,NoUoM,NoPrefix,Read,Float
211,WVI-00000002.GK-TST-03.TestWissel1.MeasurePointsSwitchCentralHeating,GK-TST-03.TestWissel1.MeasurePointsSwitchCentralHeating,153,TemperatureSensorHeatExchanger,NoQuantity,NoUoM,NoPrefix,Read,Int16
211,WVI-00000002.GK-TST-03.TestWissel1.MeasurePointsSwitchCentralHeating,GK-TST-03.TestWissel1.MeasurePointsSwitchCentralHeating,155,StatusConnectorBox,NoQuantity,NoUoM,NoPrefix,Read,Int16
211,WVI-00000002.GK-TST-03.TestWissel1.MeasurePointsSwitchCentralHeating,GK-TST-03.TestWissel1.MeasurePointsSwitchCentralHeating,157,TempStatusSwitch,NoQuantity,NoUoM,NoPrefix,Read,Int16
212,WVI-00000002.GK-TST-03.TestWissel1.Alarms.Alarm_10000,GK-TST-03.TestWissel1.Alarms.Alarm_10000,159,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
213,WVI-00000002.GK-TST-03.TestWissel1.Alarms.Alarm_12002,GK-TST-03.TestWissel1.Alarms.Alarm_12002,161,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
214,WVI-00000002.GK-TST-03.TestWissel1.Alarms.Alarm_20008,GK-TST-03.TestWissel1.Alarms.Alarm_20008,163,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
215,WVI-00000002.GK-TST-03.TestWissel1.Alarms.Alarm_22000,GK-TST-03.TestWissel1.Alarms.Alarm_22000,165,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
216,WVI-00000002.GK-TST-03.TestWissel1.Alarms.Alarm_30000,GK-TST-03.TestWissel1.Alarms.Alarm_30000,167,ErrorActive,NoQuantity,NoUoM,NoPrefix,Read,Int16
217,WVI-00000002.GK-TST-03.TestWissel2.MeasurePointsSwitchCentralHeating,GK-TST-03.TestWissel2.MeasurePointsSwitchCentralHeating,169,TemperatureSensorHeatExchanger,NoQuantity,NoUoM,NoPrefix,Read,Int16
